Store Name,Network,Account Group,Unit 1,Building,Shop Number,Shipping Street,Shipping City,Region,Shipping Code
14TH AVENUE MTN MOW,MTN,MOW,cv453,MTN Innovation Center,,14th Avenue,Fairlands,GAU,
4U KOLONNADE VODACOM HIC,VODACOM,HIC,cv142,Kolonnade mall,Shop L 76A,Sefako Makgatho Drive,"Montana, Pretoria",GAU,0182
6TH AVE CENTRE MTN CNW,MTN,CNW,cv208,6th Avenue Shopping Centre,Shop G8,Corner Heugh Road and 6th Avenue,Walmer,EC,
ABSA SQUARE MTN MOW,MTN,MOW,cv645,ABSA Square Building,Shop 1&2,Corner Paul Kruger and Ferreira Road,Nelspruit,MP,
ADDERLEY STREET CBD TELKOM TOW,TELKOM,TOW,cv604,"Norwich Building, Ground Floor",,12 Adderley Street,Cape Town,WC,
ALBERTON CITY 4U,4U,ALBERTON REPAIRS,cv181,Alberton City Mall,Shop L105,"Voortrekker Road,",Alberton,GAU,1450
ALBERTON CITY CHATZ ALR,CHATZ,ALBERTON REPAIRS,cv200,Alberton Shopping centre,Shop U165,Voortrekker Road,Alberton,GAU,
ALBERTON CITY L40 MTN CELLMATE,MTN,CELLMATE,cv616,Alberton City Mall,Shop L40,Voortrekker Road,Alberton,GAU,1449
ALBERTON CITY TELKOM BTR,TELKOM,BTR,cv5281,Alberton City,Shop L126,Voortrekker & Du Plessis Road,Alberton,GAU,
ALBERTON CITY TELKOM TOW,TELKOM,TOW,cv442,Alberton City,Shop S09,Voortrekker Street,Alberton,GAU,
ALEX MALL JET TFG,JET,THE FOSCHINI GROUP (TFG),cv5072,Alexandra Mall,Alois Coetzee,Cnr London road and M3,Alexandra,GAU,2090
ALEX MALL TELKOM TOW,TELKOM,TOW,cv5289,Alex Mall,Shop 43,"London Rd, Far East Bank",Alexandra Township,GAU,2014
ANGELO MALL NIGEL MTN CNW,MTN,CNW,cv173,Angelo Mall,Shop 18A,Cnr R42 and Rhodes Avenue,Nigel,GAU,
ANGELO MALL NIGEL VODACOM,VODACOM,AFZAL,cv5011,Angelo Mall,Shop 10,Corner R42 & Rhodes Avenue,Nigel,GAU,1491
ATRIUM BEREA JET TFG,JET,THE FOSCHINI GROUP (TFG),cv5214,"The Atrium/overport,",Shop 23,430 Peter Mokaba Ridge,Overport,KZN,4001
ATTERBURY MTN CNW,MTN,CNW,cv072,Atterbury Value Mart Complex,Shop 3.11,Atterbury Road,Faerie Glen,GAU,
ATTERBURY VALUE MART VODACOM HIC,VODACOM,HIC,cv434,Atterbury Value Mart,Shop 318,Atterbury Road,"Faerie Glen, Pretoria",GAU,0081
BALFOUR PARK MTN CELLMATE,MTN,CELLMATE,cv619,Balfour Park Mall,Shop 164,Corner Johannesburg Street & Athol avenue,Johannesburg,GAU,
BALLITO JUNCTION MTN ARL,MTN,ARLAN COMM,cv557,Ballito Junction Mall,Shop 622,Leonora Drive,Ballito,KZN,
BALITO JUNCTION MALL TELKOM TOW,TELKOM,TOW,cv433,Ballito Junction Regional Mall,Shop 422A,Leonora Drive,Ballito,GAU,4399
BALLITO LIFESTYLE CENTRE MTN ARLAN COMM,MTN,ARLAN COMM,cv639,Ballito Lifestyle Centre,Shop 31,Cnr 398 /445 Main Road,Ballito,KZN,
BAMBANANI JET TFG,JET,THE FOSCHINI GROUP (TFG),cv5237,Bambanani Centre,Shop 77,Cnr R114 & Apple Street,Diepsloot,GAU,2198/8529
BARA MALL TELKOM MVS,TELKOM,MAVUTANI SOLUTIONS,cv5313,Bara Mall,Shop 30,Corner Old Potch Road & Nicholas Drive,"Diepkloof, Soweto",GAU,
BARBERTON JET TFG,JET,THE FOSCHINI GROUP (TFG),cv724,Stimela crossing shopping centre,Shop 8,18 General street,Baberton,MP,
BAYWEST MALL TELKOM TOW,TELKOM,TOW,cv589,Baywest Shopping Mall,Shop LG77B,100 Baywest Boulevard,Baywest City,PE,
BEACON BAY MTN SMS MOBILE,MTN,SMS MOBILE,cv348,Beacon Bay Retail Park,Shop 20A,"Bonza Bay Road,",Beacon Bay,EC,
